t,o,h,l,c,v
1763415000000.0,2997.13,3009.81,2988.0,2997.85,4812.944
1763415900000.0,2997.84,3010.26,2990.01,3009.25,5145.6105
1763416800000.0,3009.25,3023.2,3000.0,3018.01,5958.0477
1763417700000.0,3018.01,3027.19,3012.79,3023.28,7293.6619
1763418600000.0,3023.27,3031.5,3019.0,3030.46,5109.1907
1763419500000.0,3030.47,3032.53,3019.55,3023.54,3979.932
1763420400000.0,3023.55,3027.25,3010.41,3017.93,4949.6943
1763421300000.0,3017.92,3023.34,3006.11,3017.81,6371.914
1763422200000.0,3017.81,3025.74,3012.48,3020.1,5560.0507
1763423100000.0,3020.11,3031.45,3017.18,3031.44,5170.5512
1763424000000.0,3031.44,3038.41,3025.35,3034.54,6799.6399
1763424900000.0,3034.54,3037.78,3018.56,3020.27,8783.0486
1763425800000.0,3020.26,3020.83,2994.62,2998.98,10209.5931
1763426700000.0,2998.97,3040.94,2991.16,3032.85,11688.0783
1763427600000.0,3032.86,3047.44,3025.66,3036.24,12057.2392
1763428500000.0,3036.23,3050.05,3019.0,3025.65,8914.7783
1763429400000.0,3025.65,3039.33,3024.5,3031.07,5014.6161
1763430300000.0,3031.06,3033.44,3014.04,3017.59,3725.1053
1763431200000.0,3017.58,3019.99,2997.88,3008.79,8147.4494
1763432100000.0,3008.78,3038.8,2978.17,3037.2,15484.5384
1763433000000.0,3037.21,3045.04,3017.98,3028.64,11023.5194
1763433900000.0,3028.64,3044.67,2978.7,2985.5,13840.8989
1763434800000.0,2985.5,2988.69,2946.56,2974.27,33145.8693
1763435700000.0,2974.28,2985.92,2965.61,2965.61,10255.1258
1763436600000.0,2965.61,3026.14,2953.34,3015.24,22221.0573
1763437500000.0,3015.25,3027.94,3012.07,3023.97,7816.8097
1763438400000.0,3023.97,3025.18,2994.65,2995.41,8267.765
1763439300000.0,2995.41,3001.95,2978.1,2978.14,9720.5284
1763440200000.0,2978.15,2996.66,2975.29,2975.29,11316.8385
1763441100000.0,2975.29,3010.49,2958.08,3005.88,23488.982
1763442000000.0,3005.88,3017.0,2984.09,3014.35,8488.2605
1763442900000.0,3014.35,3023.84,3009.61,3014.19,7008.7105
1763443800000.0,3014.19,3021.77,3002.3,3006.07,4795.0372
1763444700000.0,3006.09,3023.0,3005.87,3012.13,4592.4264
1763445600000.0,3012.14,3014.32,2997.47,3013.87,7154.0527
1763446500000.0,3013.88,3015.48,3000.31,3004.76,4668.528
1763447400000.0,3004.76,3005.5,2973.53,2976.79,13761.7897
1763448300000.0,2976.78,3001.3,2976.59,2989.76,8337.06
1763449200000.0,2989.76,3005.5,2977.33,2997.85,7072.2597
1763450100000.0,2997.85,3013.9,2987.51,3009.98,7788.8189
1763451000000.0,3009.98,3034.5,3004.56,3025.99,9420.4709
1763451900000.0,3026.0,3030.67,3024.09,3024.44,5017.9021
1763452800000.0,3024.44,3044.93,3024.44,3032.99,10911.0836
1763453700000.0,3032.98,3043.99,3027.5,3034.05,7459.8273
1763454600000.0,3034.05,3068.0,3032.16,3058.22,14823.4617
1763455500000.0,3058.22,3063.03,3054.86,3060.19,5326.4781
1763456400000.0,3060.19,3067.24,3039.41,3045.34,9283.2445
1763457300000.0,3045.34,3055.74,3028.39,3031.57,5467.0971
1763458200000.0,3031.57,3046.38,3030.88,3045.47,4830.2688
1763459100000.0,3045.47,3063.91,3045.0,3060.5,8308.6844
1763460000000.0,3060.5,3067.14,3055.38,3059.28,9140.2409
1763460900000.0,3059.28,3069.0,3050.53,3061.14,6368.0109
1763461800000.0,3061.14,3072.21,3059.03,3065.05,5660.0639
1763462700000.0,3065.05,3067.99,3053.84,3066.15,4367.638
1763463600000.0,3066.15,3068.01,3057.75,3059.12,4854.6149
1763464500000.0,3059.12,3074.45,3052.44,3063.32,7594.9509
1763465400000.0,3063.33,3071.48,3055.88,3069.93,6424.1056
1763466300000.0,3069.93,3071.3,3053.87,3058.01,5736.2625
1763467200000.0,3058.0,3058.64,3039.36,3040.5,8432.9412
1763468100000.0,3040.51,3063.81,3040.31,3047.3,5393.0306
1763469000000.0,3047.3,3066.09,3046.53,3064.38,3223.7699
1763469900000.0,3064.37,3065.24,3041.61,3049.76,4786.3793
1763470800000.0,3049.76,3049.77,3040.4,3047.01,4945.671
1763471700000.0,3047.0,3051.48,3032.71,3036.53,8200.3002
1763472600000.0,3036.53,3047.95,3022.09,3038.87,9938.4716
1763473500000.0,3038.88,3051.1,3038.46,3048.34,5155.9192
1763474400000.0,3048.33,3050.0,3032.31,3036.61,3521.825
1763475300000.0,3036.61,3069.0,3036.61,3058.18,6382.4471
1763476200000.0,3058.18,3092.64,3044.37,3063.38,27814.4419
1763477100000.0,3063.38,3084.55,3058.33,3058.33,11607.8731
1763478000000.0,3058.32,3091.65,3034.0,3079.98,17998.7251
1763478900000.0,3079.98,3119.0,3074.0,3109.23,23192.7554
1763479800000.0,3109.24,3123.69,3095.01,3110.52,11400.2119
1763480700000.0,3110.52,3121.02,3095.33,3106.87,6185.9935
1763481600000.0,3106.87,3129.78,3099.39,3120.67,15269.7369
1763482500000.0,3120.67,3160.0,3117.0,3156.8,22858.5501
1763483400000.0,3156.81,3168.91,3146.15,3149.97,15804.7422
1763484300000.0,3149.96,3159.0,3146.25,3152.18,5024.0138
1763485200000.0,3152.18,3159.0,3138.52,3139.75,12702.3145
1763486100000.0,3139.74,3152.13,3122.36,3125.35,6680.6534
1763487000000.0,3125.35,3140.0,3120.08,3136.78,6950.0666
1763487900000.0,3136.78,3137.85,3125.1,3135.36,3562.0208
1763488800000.0,3135.36,3154.6,3135.36,3151.79,5233.8918
1763489700000.0,3151.8,3153.86,3139.47,3143.36,4004.8679
1763490600000.0,3143.36,3159.85,3143.36,3158.25,3742.6293
1763491500000.0,3158.25,3169.95,3157.3,3160.46,6067.0988
1763492400000.0,3160.46,3168.36,3154.41,3165.0,2377.4246
1763493300000.0,3165.01,3168.19,3158.47,3161.11,2620.2815
1763494200000.0,3161.11,3162.5,3145.32,3145.46,4622.7335
1763495100000.0,3145.45,3151.42,3135.59,3146.02,4564.9228
1763496000000.0,3146.01,3149.47,3137.5,3141.93,2020.065
1763496900000.0,3141.93,3150.43,3139.85,3147.86,1432.0586
1763497800000.0,3147.87,3149.48,3131.84,3132.08,2551.24
1763498700000.0,3132.08,3136.73,3122.72,3123.2,3820.4347
1763499600000.0,3123.19,3126.82,3114.15,3126.79,3051.3256
1763500500000.0,3126.79,3131.18,3120.63,3123.99,1312.8458
1763501400000.0,3123.99,3124.0,3103.6,3104.23,3905.6726
1763502300000.0,3104.22,3105.81,3097.21,3098.25,4444.1349
1763503200000.0,3098.25,3120.96,3097.66,3120.96,4698.2793
1763504100000.0,3120.96,3128.24,3113.21,3126.3,2616.8602
1763505000000.0,3126.3,3129.77,3121.17,3123.48,1308.9286
